compound_stem,SMILES,compound_name,pubchem_cid,kegg_id
K02848439,O=C(NC1CCCCCC1)c1cc(nc2ccccc12)-c1ccccn1,ac1m5nzy,NA,NA
K02848776,Cc1ccc(cc1)S(=O)(=O)NCCC(=O)Nc1nccs1,ac1lgz4y,NA,NA
K02849105,C\C=C\c1ccc(cc1)[C@@H]1[C@H](CO)N(C(C)=O)C11CN(C1)C(=O)c1ccncc1,brd-k02849105-001-01-5,NA,NA
K02849651,Cc1nnc(NC(=O)C(c2ccccc2)c2ccccc2)s1,zinc03334495,NA,NA
K02850899,CO[C@@H]1CCN([C@H]1Cc1ccncc1)C(=O)Cc1ccsc1,zinc96200302,NA,NA
K02851760,CN(C)C(=O)[C@@H]1CCS(=O)(=O)[C@H]2CN(C[C@@H]12)C(=O)NCc1ccccc1,NA,NA,NA
K02852949,Cn1cnc2c(O)ncc([N+]([O-])=O)c12,mls000680144,NA,NA
K02862042,Clc1ncccc1NC(=O)C1c2ccccc2Oc2ccccc12,n-(2-chloropyridin-3-yl)-9h-xanthene-9-carboxamide,NA,NA
K02862877,NC(=O)c1c(NC(=O)CN2CCN(CC2)S(=O)(=O)c2ccccc2)sc2CCCc12,t5660849,NA,NA
K02862969,CCc1nnc2sc(nn12)-c1cc(nc2ccccc12)-c1ccccc1,st50140261,NA,NA
K02864397,COc1ccc(cc1)-c1cc(n2nc(nc2n1)C(O)=O)C(F)(F)F,mls000080812,NA,NA
K02868342,O=C(Nc1cccc(c1)C(=O)Nc1nccs1)C1CC1,stk223977,NA,NA
K02872218,Cc1cnc(cn1)C(=O)OCC(=O)Nc1oc(c(c1C#N)-c1ccccc1)-c1ccccc1,t5250804,NA,NA
K02875309,CCOCCCNC(=O)COc1ccc(OC)cc1,mls000536679,NA,NA
K02880651,CC(=O)Nc1ccc(cc1)C1(C(=O)Nc2ccccc12)c1ccc(NC(C)=O)cc1,zinc04576712,NA,NA
K02884694,OCCNC(=O)c1ccc(cc1)-c1nnc(N2CCOCC2)c2ccccc12,n-(2-hydroxyethyl)-4-[4-(morpholin-4-yl)phthalazin-1-yl]benzamide,NA,NA
K02897918,[O-][N+](=O)c1cc(ccc1N1CCOCC1)C(=O)OCC(=O)N1CCc2ccccc2C1,smr000253632,NA,NA
K02899175,OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@H]2N([C@H]1C(=O)NCC(F)(F)F)C(=O)c1ccccc1F,brd-k02899175-001-01-5,NA,NA
K02899556,Clc1ccc(OCC(=O)NC(=O)N2CCOCC2)c(Cl)c1,st4116348,NA,NA
K02899868,O=C(Nc1ccc2oc(nc2c1)-c1cccnc1)c1cccnc1,stk137682,NA,NA
K02900607,CC(=O)Nc1ccccc1OCc1nnc(o1)-c1cccs1,smr000067871,NA,NA
K02902199,OC[C@H]1[C@@H]2[C@@H](CN(C(=O)Nc3ccccc3F)c3ccccc23)N1C(=O)C1CCCC1,brd-k02902199-001-01-9,NA,NA
K02911910,COc1ccccc1N1CCN(CC1)C(=O)C1CC1,ak-968/11988148,NA,NA
K02913314,O=C(Cc1ccccc1)NCC(=O)N1CCN(Cc2ccc(cc2)C#N)CC1,t5530749,NA,NA
K02914492,CC(=O)N1CC2(C1)[C@H]([C@@H](CO)N2C(=O)CC1CC1)c1ccc(cc1)-c1ccccc1C,brd-k02914492-001-01-8,NA,NA
K02914563,[O-][N+](=O)c1cc(ccc1N1CCOCC1)C(=O)Nc1ccc(Cc2ccncc2)cc1,mls000679974,NA,NA
K02917322,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3cc(F)ccc3F)cc2OC[C@H](C)N(C)C[C@@H]1C,brd-k02917322-001-01-7,NA,NA
K02926670,CCOC(=O)N1CCC(CC1)NCc1c(nc2ccccn12)C(=O)N(C)Cc1ccccc1,ambcb38505047,NA,NA
K02927579,O=C(N1CCSCC1)c1ccc2snnc2c1,mls000113320,NA,NA
K02927581,CCNC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccc(F)cc4)c3=O)[C@H]1N2C(=O)c1ccccn1,brd-k02927581-001-01-2,NA,NA
K02929561,COc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@@H](CO)N2[C@@H]1CN(CC2=O)C(=O)Cc1ccccn1,brd-k02929561-001-01-2,NA,NA
K02931142,OC[C@@H]1[C@H]([C@H]2CN(CCCCN12)C(=O)Nc1cccc(F)c1)c1ccc(cc1)C#Cc1cccnc1,brd-k02931142-001-01-6,NA,NA
K02932589,CCN1C(=O)C2(CCOCC2)c2cc(NCc3ccco3)ccc12,zinc96244765,NA,NA
K02932862,C(CN1CCN(Cc2nc(Cc3ccccc3)no2)CC1)Oc1ccccc1,t6655827,NA,NA
K02934055,OC[C@@H]1[C@@H]([C@H](C#N)N1S(=O)(=O)c1ccccc1)c1ccccc1C1=CCCC1,brd-k02934055-001-01-5,NA,NA
K02937343,O=S(=O)(NC1CCCC1)c1ccc(cc1)S(=O)(=O)N1CCN(CCC#N)CC1,smr000092591,NA,NA
K02944811,O=C(NCc1ccncc1)NC12CC3CC(CC(C3)C1)C2,st058951,NA,NA
K02947281,CN(C)CCN1[C@@H]2CCN(CC[C@@H]2Oc2ccccc2S1(=O)=O)C(=O)C(C)(C)C,NA,NA,NA
K02948622,O=C(Cn1cnc(c1)S(=O)(=O)N1CCCCC1)NCc1ccco1,mls001096067,NA,NA
K02950830,OC[C@H]1[C@@H](c2ccccc2)C2(CN(C2)C(=O)Cc2ccccc2)N1Cc1cccc(Cl)c1,brd-k02950830-001-01-3,NA,NA
K02952419,CS(=O)(=O)N1CCN(CC1)c1ccccc1NC(=O)Cc1ccccc1,bas 09579922,NA,NA
K02952507,CC(C)C#Cc1ccc(cc1)[C@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)c1cccc(F)c1,brd-k02952507-004-02-3,NA,NA
K02953697,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2Oc2cc(O)c3C(=O)C[C@H](Oc3c2)c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,naringin,442428,NA
K02955293,COCC(=O)N(C[C@H]1N[C@H](CO)[C@H]1c1ccc(cc1)-c1cccnc1)C(C)C,brd-k02955293-001-01-2,NA,NA
K02956371,CC(C)NC(=O)N1CCn2cc(CN(C)Cc3cccnc3)nc2C1,zinc96197497,NA,NA
K02965346,CN(c1cccc(Cl)c1)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c(C)c(C(=O)N4CCN(C)CC4)c3C)c2c1,su11274,NA,NA
K02965915,Fc1ccc(cc1)C(=O)c1c[nH]c(c1)C(=O)NCCCN1CCOCC1,4-(4-fluorobenzoyl)-n-(3-morpholinopropyl)-1h-pyrrole-2-carboxamide,NA,NA
K02966790,CN(C)Cc1cc(=O)n2CCCN(Cc3ccc(C)s3)Cc2n1,zinc96197538,NA,NA
K02966925,CCCCn1c(CNC(=O)C(C)(C)C)nc2ccccc12,st50116355,NA,NA
K02969723,COc1cccc(NC(=O)CN(C)C(=O)c2oc3c(ccc4ccccc34)c2C)c1,mls001142056,NA,NA
K02970529,O=C(N1CCN(Cc2ccccn2)CC1)c1ccc(cc1)-c1ccccc1,mls000108271,NA,NA
K02983704,CCn1cc(CN2CCC(CC2)C(=O)Nc2cccc(c2)-c2cscn2)cn1,ambcb73428331,NA,NA
K02984732,COCC(=O)N1C[C@H](C[C@@H]2OCC[C@H]12)c1nc(C)no1,NA,NA,NA
K02985634,COc1ccc(cc1)-c1cnc2n1CCNC21CCN(CC1)C1CCCC1,zinc96263383,NA,NA
K02992342,Fc1cccc(CN2CCC3(CCCN3S(=O)(=O)c3ccccc3)CC2)c1,zinc96075187,NA,NA
K02994784,CN(C)CC(=O)N1[C@@H](CO)[C@@H]([C@@H]1C#N)c1ccc(cc1)C#CC1CC1,brd-k02994784-001-01-7,NA,NA
K02995553,Nc1ccc2ncccc2c1N,"quinoline-5,6-diamine",NA,NA
K03001657,Cc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)N1CCCCCCC1,mls002180946,NA,NA
K03002385,COCCN1[C@@H]2CCN([C@H]2CC1=O)S(=O)(=O)c1ccc(F)cc1,NA,NA,NA
K03006541,COc1cccc(c1)S(=O)(=O)N1CCCCN2[C@@H](CO)[C@H]([C@@H]2C1)c1ccc(cc1)C#CCC(C)C,chembl2360276,NA,NA
K03007732,Cc1cc(CN2CCC3(CCCN3c3ncccn3)CC2)nn1C,zinc63527358,NA,NA
K03008636,CCOC(=O)c1[nH]cnc1C(=O)Nc1ccc(F)cc1,ethyl 4-[(4-fluorophenyl)carbamoyl]-1h-imidazole-5-carboxylate,NA,NA
K03010538,Nc1c2CCN(Cc3ccccc3)c2nc2ccc(Br)cc12,cbdive_009453,NA,NA
K03013818,CN(C)S(=O)(=O)c1ccc(cc1)C(=O)NCc1ccc(C)n1C,zinc03451022,NA,NA
K03014341,COCC(=O)N[C@H]1CN(Cc2scnc2C)C[C@H]2CCCO[C@@H]12,NA,NA,NA
K03014511,Cc1occc1C(=O)Nc1ccc2CCCc2c1,mls000065674,NA,NA
K03015417,OC[C@@H]1[C@H]2Cn3c(cccc3=O)[C@@H]([C@H]1C(=O)N1CCc3ccccc3C1)N2CC1CCCC1,brd-k03015417-001-01-5,NA,NA
K03015524,Cc1c2CCCCc2nc2nnnn12,"9-methyl-5,6,7,8-tetrahydro[1,2,3,4]tetraazolo[5,1-b]quinazoline",NA,NA
K03017053,Fc1ccc(CS(=O)(=O)Cc2ccc(o2)C(=O)NCCc2ccccc2)cc1,chemdiv2_008172,NA,NA
K03017745,COc1ccc(NC(=O)CCc2nc3ccccc3[nH]2)cc1,t5864731,NA,NA
K03020634,CN1CCN(Cc2ccc(C)nc12)c1ncccn1,zinc96199000,NA,NA
K03028963,CN1CCc2c(COCC(=O)N3CCCC3)cncc2C1,zinc96189422,NA,NA
K03033572,COCCN1CCN(CCn2cccn2)c2nc(C)ccc2C1,zinc96069247,NA,NA
K03034192,CC(C)CN1CCNC(=O)C11CCN(CC1)C(=O)Cc1ccsc1,zinc96077185,NA,NA
K03034193,COCC(=O)N1[C@H](CO)[C@@H]([C@H]1C#N)c1ccc(cc1)C#CCC1CCCC1,brd-k03034193-004-02-8,NA,NA
K03036877,Cc1noc(C)c1C(=O)N1CCC(CC1)C(=O)c1ccccc1,mls000860247,NA,NA
K03039262,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ERGOSTEROL,444679,NA
K03040958,CC(C)Sc1nnc(C)c(=O)n1N,t5221942,NA,NA
K03041553,O=C(CN1CCCc2ccccc12)Nc1cccc(c1)S(=O)(=O)N1CCCC1,t5410021,NA,NA
K03043432,OC[C@H]1[C@H]([C@H]2CN(CC3CCOCC3)CCCCN12)c1ccc(cc1)C#Cc1ccccc1F,brd-k03043432-001-01-8,NA,NA
K03043844,Cn1nnnc1-c1cc(Br)ccc1NC(=O)c1ccccc1,zinc02311779,NA,NA
K03044117,CN1CCN(CC=C)C(=O)C11CCN(CC1)C(=O)c1cnccn1,zinc96050067,NA,NA
K03045726,CC(=O)N1CCN(CC1)S(=O)(=O)c1cccc(c1)C(=O)Nc1nc2CCCCc2s1,smr000153713,NA,NA
K03047323,O=C(COc1ccccc1)N1CCC2(CC1)CNS(=O)(=O)c1ccccc1OC2,zinc96263452,NA,NA
K03051543,CCCCn1c(C)c(C(O)=O)c2cc(OC)ccc12,smr000060364,NA,NA
K03053765,COc1cc(NC(=O)CCC2CCCC2)cc(c1)-n1cnnn1,ak-968/41171852,NA,NA
K03056490,CC(C)CN(C[C@@H]1N[C@@H](CO)[C@H]1c1ccccc1)C(=O)CN(C)C,brd-k03056490-001-01-9,NA,NA
K03057797,CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3ccccc3F)cc2OC[C@@H](C)NC[C@@H]1C,brd-k03057797-001-01-7,NA,NA
K03065379,N(c1c(nc2ccccn12)-c1ccco1)c1ccccc1,mls000580695,NA,NA
K03065835,O=C(N1CCCCC1)c1cc(-c2ccnn2C2CCCC2)n2ccccc12,zinc96154792,NA,NA
K03066520,O=c1cc(Cn2ccnc2)nc2CN(Cc3ccoc3)CCCn12,zinc96059597,NA,NA
K03069137,CCS(=O)(=O)N1[C@H](CO)[C@@H]([C@H]1CN(C1CCCC1)C(C)=O)c1ccccc1,brd-k03069137-001-01-1,NA,NA
K03076617,Cc1cc(C)c(NC(=O)CN)c(C)c1,stk497974,NA,NA
K03078003,O=C(Nc1cccc(NC(=O)c2cnccn2)c1)c1ccco1,stk266524,NA,NA
K03083339,CCOC(=O)Nc1cccc2ccccc12,ethyl 1-naphthylcarbamate,NA,NA
K03084139,CN1[C@@H]2CC[C@H](CC(=O)NCC3CCCCC3)O[C@H]2COc2ccc(NC(=O)C3CCC3)cc2C1=O,brd-k03084139-001-01-8,NA,NA
K03085683,O=C(NCc1ccccc1)c1cc(nc2ccccc12)-c1ccncc1,n-benzyl-2-pyridin-4-ylquinoline-4-carboxamide,NA,NA
K03087289,O=C(COc1ccccc1)N1c2ccccc2Sc2ccccc12,10-(phenoxyacetyl)-10h-phenothiazine,NA,NA
K03091083,OC[C@H]1[C@H]([C@H]2CN(CC(=O)N12)C(=O)c1ccc(F)cc1)c1ccc(cc1)C#CC1CCCCC1,brd-k03091083-001-01-9,NA,NA
K03091515,Nc1c2CNCc2nn1-c1ccc(cc1)C(O)=O,stk199616,NA,NA
K03095347,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,LEVOSIMENDAN,3033825,D04720
K03101623,Cc1cnc(nc1)N1CC[C@@H]2CN(CCO[C@H]2C1)c1ccc(C)nn1,NA,NA,NA
K03103529,Fc1ccc(cc1)S(=O)(=O)Nc1ccccc1C(=O)N1CCCC1,ac1lhzrk,NA,NA
K03112660,O=S(=O)(Cc1ccccc1)N1CCCCCC1,1-(benzylsulfonyl)azepane,NA,NA
K03115024,COC1CC2(C1)CCN(CC2)S(=O)(=O)c1cn(C)cn1,zinc96159343,NA,NA
K03116048,CC(C)NC(=O)N1CCCCN2[C@H](CO)[C@H]([C@H]2C1)c1ccc(Br)cc1,brd-k03116048-001-01-8,NA,NA
K03123131,NNC(=O)Cc1nnc(N)s1,"2-(5-amino-1,3,4-thiadiazol-2-yl)acetohydrazide",NA,NA
K03123837,O=C(Cn1cnc2ccccc2c1=O)NCC(=O)N1CCC2(CC1)OCCO2,ac1mmott,NA,NA
K03124765,COC(=O)CCCc1nc2ccccc2s1,smr000041734,NA,NA
K03127790,O=C(Nc1nsc(n1)-c1ccccc1)c1ccncc1,zinc04101647,NA,NA
K03128512,CCN1C[C@H](C)n2c(c(O)c3c2c(nn(Cc2ccc(F)c(Cl)c2)c3=O)C(=O)NC)C1=O,MK-2048,54698642,NA
K03130528,CCCC#Cc1ccc(cc1)[C@H]1[C@H](CO)N([C@@H]1C#N)S(C)(=O)=O,brd-k03130528-001-01-8,NA,NA
K03133203,O=C(N1CC[C@H]2[C@@H]1CC(=O)N2c1ccsc1)c1ccco1,NA,NA,NA
K03135154,CC(C)[C@H](NC(N)=O)C(=O)N(C)CC(=O)Nc1cc(C)ccc1C,t0513-0597,NA,NA
K03139124,CCN1CCN(CC1)C(=O)CN(CCc1ccccc1)S(C)(=O)=O,n-[2-(4-ethyl-piperazin-1-yl)-2-oxo-ethyl]-n-phenethyl-methanesulfonamide,NA,NA
K03139453,[O-][N+](=O)c1cccc(COc2ccccc2C(=O)Nc2ccccc2)c1,mls000579424,NA,NA
K03139679,OCC1(CO)COC2(CCCC2)N1,mls000079275,NA,NA
K03139866,CC(C)N1CCN(C)C2(CCN(CC2)C(=O)c2csnn2)C1=O,zinc96230057,NA,NA
K03140546,COc1ccccc1OCc1ccc(o1)C(=O)N1CCOCC1,ak-968/15254043,NA,NA
K03141599,O=C(CNC(=O)c1ccco1)NC1CCCCCC1,furan-2-carboxylic acid cycloheptylcarbamoylmethyl-amide,NA,NA
K03142004,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C3CC3)ccc2OC[C@@H](C)N(C[C@@H]1C)C(=O)CN1CCOCC1,brd-k03142004-001-01-6,NA,NA
K03155172,FC(F)(F)c1ccc(nc1)S(=O)(=O)CCNC(=O)c1ccc(Cl)cc1,GSK3787,2800647,NA
K03155494,O=C(CNC(=O)c1ccco1)NCc1nc2ccccc2[nH]1,mls001078601,NA,NA
K03155670,COc1ccc(CNC(=O)Cn2nc(c3CCCc23)C(F)(F)F)cc1,st50011315,NA,NA
K03156153,CN(C)c1ccc(cc1)CN1CCC(CC1)c1nc2ccc(cn2n1)-c1cccnc1,zinc96155781,NA,NA
K03156953,CCOc1cc(ccc1OCC(=O)N1CCOCC1)C(=O)Nc1nnc(CC)s1,smr000154072,NA,NA
K03159445,CCOC(=O)c1sc(\N=C\N(C)C)c(C(=O)OCC)c1C,ac1mdvxq,NA,NA
K03161249,OC[C@@H]1[C@H]2[C@H](CN(C(=O)Nc3ccccc3)c3ccccc23)N1C(=O)c1ccccn1,chembl2356989,NA,NA
K03161584,Cc1cc(no1)C(=O)Nc1c(C)nn(Cc2ccc(Cl)cc2)c1C,st50677420,NA,NA
K03161806,CC(C)CC(=O)Nc1ncc(s1)[N+]([O-])=O,"butanamide, 3-methyl-n-(5-nitro-2-thiazolyl)-",NA,NA
K03162473,CN(C)CC(=O)N1CC2(C1)[C@@H]([C@H](CO)N2C(=O)C1CCC1)c1ccccc1,brd-k03162473-001-01-6,NA,NA
K03164761,O=C(NCc1ccccc1)c1csc(Nc2ccncn2)n1,Thiazovivin,46209426,NA
K03174509,OC[C@H]1[C@@H]2Cn3c(ccc(-c4ccc(F)cc4)c3=O)[C@@H]2N[C@@H]1C(=O)NCCN1CCCCC1,brd-k03174509-001-01-9,NA,NA
K03175716,CCN(CC)CCNC(=O)c1ccc(cc1)-n1c(C)cc2c1CCCC2=O,mls001033856,NA,NA
K03175804,CN1CCN(CC1)C(=O)c1cccc(c1)S(=O)(=O)N1CCCCC1,smr000060962,NA,NA
K03186571,O=C(N1CCN(C1c1ccccc1)C(=O)c1ccccc1)c1ccccc1,"imidazolidine, 1,3-dibenzoyl-2-phenyl-",NA,NA
K03194210,Cc1ccc2n(C)c(NCCCO)nc2c1,stk498388,NA,NA
K03195409,Fc1cnc(nc1)N1CC[C@]2(C1)C[C@@H](CCO2)N1CCCC1=O,zinc96206574,NA,NA
K03195874,COc1ccccc1S(=O)(=O)N[C@@H]1CC[C@H](CCn2cc(nn2)C2CC2)O[C@@H]1CO,brd-k03195874-001-01-1,NA,NA
K03198136,C(N1CCOCC1)c1ccc(Nc2ncnc3c4ccccc4oc23)cc1,ac1ldb9u,NA,NA
K03200912,CC(C)CNC(=O)NC(=O)COC(=O)c1cc(F)cc(F)c1,zinc03360405,NA,NA
K03201207,COc1cccc(c1)-c1ccc2N[C@@H](CO)[C@H]3CCN([C@H]3c2c1)S(=O)(=O)c1ccccc1F,brd-k03201207-001-01-5,NA,NA
K03204124,OC(CC#CCN1CCOCC1)(c1ccccc1)c1ccccc1,"5-(morpholin-4-yl)-1,1-diphenylpent-3-yn-1-ol",NA,NA
K03205298,Fc1ccccc1S(=O)(=O)N1CCC[C@H]1C(=O)OCc1nc2ccccc2s1,t5293777,NA,NA
K03209437,O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCCCCC1,t5221320,NA,NA
K03212164,C1CCC(CC1)Nc1nnnn1-c1ccccc1,cyclohexyl-(1-phenyl-1h-tetrazol-5-yl)-amine,NA,NA
K03213245,COc1ccc(cc1)-n1ncc2c(NCCCn3ccnc3)ncnc12,smr000035748,NA,NA
K03213425,OC[C@@H]1[C@@H]([C@H]2CN(CC(=O)N12)C(=O)C1CCOCC1)c1ccc(cc1)C#CCc1ccccc1,brd-k03213425-001-01-6,NA,NA
K03217929,Cc1cncc(c1)C(=O)N1CCc2c(CN3CCCC3)nn(C)c2C1,zinc96084168,NA,NA
K03227894,CNC(=O)NC(=O)COC(=O)CCCSc1nc2ccccc2s1,mls000389883,NA,NA
K03233794,CCC(=O)N1[C@H](CO)[C@@H](c2ccccc2)C11CN(C1)C(=O)Nc1ccccc1F,brd-k03233794-001-01-7,NA,NA
K03235910,O=C(OCC(=O)c1ccc2ccccc2c1)c1ccco1,2-(2-naphthyl)-2-oxoethyl 2-furoate,NA,NA
K03236671,CCCCNC(=O)CCNS(=O)(=O)c1ccc(C)cc1,smr000132408,NA,NA
K03237644,CO[C@H]1CN(C)C(=O)c2ccc(NS(=O)(=O)c3ccc(cc3)-c3ccccc3)cc2OC[C@@H](C)NC[C@@H]1C,brd-k03237644-001-01-0,NA,NA
K03238688,Cc1oc(nc1C(=O)OCC(=O)NCc1ccccc1)-c1ccccc1,t5555198,NA,NA
K03239352,Fc1cccc(CCNC(=O)CCNC(=O)N2CC(=O)Nc3ccccc23)c1,stk608325,NA,NA
K03240659,Cc1occc1C(=O)NCCCc1ccccc1,mls000113848,NA,NA
K03241458,COc1cc(ccc1OCc1c(C)noc1C)C(=O)Nc1nccs1,smr000065205,NA,NA
K03242105,CCOc1ncccc1C(=O)OCC(=O)Nc1ccc(Cl)cn1,t5339185,NA,NA
K03243820,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(c(=O)[nH]c1=O)C(F)(F)F,Trifluridine,6256,D00391
K03247635,COC(=O)NCc1ccc2OCOc2c1,ac1ljejt,NA,NA
K03251483,CC(C)N1CCc2c(CNC(=O)c3nccn3C)cncc2C1,chembl3557457,NA,NA
K03256308,[O-][N+](=O)c1ncccc1OCC(=O)N1CCc2ccccc12,ac1naabr,NA,NA
K03257888,O=C(N1CCN(CC1)c1ccccc1)c1cnsn1,stk155489,NA,NA
K03260152,O=C(COC(=O)c1ccc(NC(=O)c2ccco2)cc1)c1cccs1,smr000015161,NA,NA
K03261905,COc1ccc(CCNC(=O)c2cc3c(n2C)c2ccccc2n(C)c3=O)cc1OC,chemdiv3_010182,NA,NA
K03262547,OC(=O)c1cccc(Nc2ncnc3n(ncc23)-c2ccccc2)c1,"3-(1-phenyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamino)-benzoic acid",NA,NA
K03276924,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)C3CC3)ccc2OC[C@H](C)N(Cc2ccc(OC)cc2)C[C@@H]1C,brd-k03276924-001-01-9,NA,NA
K03279967,CCNS(=O)(=O)c1ccc(Br)c(OC)c1,4-bromo-n-ethyl-3-methoxybenzenesulfonamide,NA,NA
K03280176,CCOC(=O)c1[nH]c(C(O)=O)c(CCC(=O)OC)c1C,mls000087804,NA,NA
K03286221,Cc1nnc(-c2cnn(C)c2N)n1Cc1ccccc1,"4-(4-benzyl-5-methyl-4h-1,2,4-triazol-3-yl)-1-methyl-1h-pyrazol-5-ylamine",NA,NA
K03289018,CN1CCN(CC1)c1ccc(cc1)-c1nc2c(N3CCN(Cc4cc(C)on4)CC3)c(Br)cnc2[nH]1,CCT137690,25154041,NA
K03292214,COc1ccc(cc1)C(=O)c1cc(ccc1N1CCN(C)CC1)[N+]([O-])=O,ac1meiyw,NA,NA
K03295345,COc1cccc(c1)-c1nn(C)c2sc(cc12)C(=O)NCc1ccco1,ac1mmtei,NA,NA
K03302352,COc1ccc(Cl)c(NCCC(O)=O)c1,n-(2-chloro-5-methoxyphenyl)-beta-alanine,NA,NA
K03302938,CN1[C@H]2CC[C@H](CC(=O)NC3CCC3)O[C@@H]2COc2ccc(NC(=O)NC3CCCC3)cc2C1=O,chembl2356827,NA,NA
K03304013,CCCNC(=O)Nc1ccc2OC[C@@H](C)N(Cc3ccccn3)C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC,brd-k03304013-001-01-1,NA,NA
K03315432,Clc1ccc(cc1)-c1cc(COc2ccc3ccccc3c2)no1,5-(4-chlorophenyl)-3-[(2-naphthyloxy)methyl]isoxazole,NA,NA
K03324844,COCC(=O)Nc1ccccc1C(=O)NC(C)C,mls000064562,NA,NA
K03325857,CSc1sc(cc1S(=O)(=O)C(C)C)C(=O)N(C)C,"n2,n2-dimethyl-4-(isopropylsulfonyl)-5-(methylthio)thiophene-2-carboxamide",NA,NA
K03328755,CN1CCC2(CC1)CN(Cc1ccccc21)C(=O)Nc1ccccc1,zinc96242393,NA,NA
K03341413,O=C(N1CCN(CC1)c1ccccn1)c1cc2ccccc2s1,1-benzothiophen-2-yl[4-(2-pyridinyl)piperazino]methanone,NA,NA
K03342376,[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,"2,3,4-trichloronitrobenzene",NA,NA
K03346016,CC(=O)Nc1ccc2n(C)c(CCN3CCOCC3)nc2c1,mls000083592,NA,NA
K03346718,COC(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4cccnc4)c3=O)[C@H]1N2S(=O)(=O)c1ccccc1C,brd-k03346718-001-01-0,NA,NA
K03346950,O=C(COc1ccc(Nc2ccccc2)cc1)Nc1ccncc1,t6089611,NA,NA
K03350233,Clc1cncc(Cl)c1N1CCCN(CC1)C(=O)Nc1ccccc1,"4-(3,5-dichloro-4-pyridinyl)-n-phenyl-1,4-diazepane-1-carboxamide",NA,NA
K03360668,COc1ncccc1CN1C[C@H]2COC[C@@]2(Cc2nnc(o2)C2CC2)C1,NA,NA,NA
K03361457,COc1ccc(COc2ccsc2C(=O)Nc2ccc(Cl)cc2)cc1,8h-434s,NA,NA
K03365732,C1CCC2(CC1)Cc1ccccc1-c1nnnn21,mls000525820,NA,NA
K03366960,O=C(NC1CCCC1)c1ccc(cc1)S(=O)(=O)N1CCOCC1,n-cyclopentyl-4-(morpholine-4-sulfonyl)-benzamide,NA,NA
K03369527,Cc1c(C)c2cc(ccc2n1Cc1ccccc1)C(=O)NCCCN1CCOCC1,mls001094943,NA,NA
K03373364,CCCC#Cc1ccc(cc1)[C@@H]1[C@H](CO)N2[C@@H]1CN(CC2=O)C(=O)Nc1cccc(F)c1,brd-k03373364-001-01-1,NA,NA
K03376580,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(Cc1cccc(Cl)c1)C[C@]31CCN(CC1)C(C)=O,chembl3560828,NA,NA
K03382565,Cc1ccc(s1)C(=O)N1C[C@H]2CCC[C@]2(COCc2ccccn2)C1,NA,NA,NA
K03384488,FC(F)(F)c1nnc2ccc(nn12)N1CCCCCC1,"6-azepan-1-yl-3-trifluoromethyl-[1,2,4]triazolo[4,3-b]pyridazine",NA,NA
K03384615,OC[C@@H]1[C@@H](c2ccccc2)C2(CN(C2)C(=O)C2CCCCC2)N1C(=O)c1cccnc1,brd-k03384615-001-01-5,NA,NA
K03388588,FC(F)(F)c1nn(c2CCCCc12)-c1ccc(cc1)C(=O)N1CCOCC1,"1-[4-(4-morpholinylcarbonyl)phenyl]-3-(trifluoromethyl)-4,5,6,7-tetrahydro-1h-indazole",NA,NA
K03396788,Cc1ccc(cc1)S(=O)(=O)Cc1sc2ccccc2[n+]1C,zinc00296885,NA,NA
K03397136,COc1ccc(C[C@H]2CN(CC[C@H]2OCC2CC2)S(C)(=O)=O)cc1,zinc96110312,NA,NA
K03398366,CC(=O)N(Cc1ccco1)C1(CCCCC1)C(=O)NC1CCCC1,stk149247,NA,NA
K03403201,BrC(=C)Cn1cnc2ccccc12,f0469-0019,NA,NA
K03406275,COc1ccc(cc1)C(=O)N1C[C@@H]2[C@@H]([C@@H](CO)N2C(=O)Cc2ccccn2)c2ccccc12,brd-k03406275-001-01-7,NA,NA
K03406832,Cc1nc2ccccc2c(-c2ccccc2)c1CC(O)=O,chembl1422813,NA,NA
